Plan1,Plan2,ELEVATION_PHASE_BLEU,ELEVATION_PHASE_Cosine,EXECUTIVE_SUMMARY_BLEU,EXECUTIVE_SUMMARY_Cosine,FOOTER_BLEU,FOOTER_Cosine,FOUNDATION_PHASE_BLEU,FOUNDATION_PHASE_Cosine,PEAK_PHASE_BLEU,PEAK_PHASE_Cosine,STATIC_CTA_BLEU,STATIC_CTA_Cosine,THIS_JOURNEY_OF_YOURS_BLEU,THIS_JOURNEY_OF_YOURS_Cosine,TIPS_TO_MAKE_IT_WORK_BEST_BLEU,TIPS_TO_MAKE_IT_WORK_BEST_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Detailed_Study_Plan_1,Detailed_Study_Plan_2,0.3345,0.9767,1.0,0.9999,1.0,1.0,0.4049,0.9717,0.4883,0.985,1.0,1.0,0.274,0.8906,0.3293,0.9205,0.495,0.9873,SaiSaahas
Detailed_Study_Plan_1,Detailed_Study_Plan_3,0.3763,0.976,0.9507,0.9984,1.0,1.0,0.3158,0.9653,0.575,0.9871,1.0,1.0,0.1827,0.9065,0.2293,0.9163,0.4886,0.985,SaiSaahas
Detailed_Study_Plan_1,Detailed_Study_Plan_4,0.4287,0.979,0.9507,0.9984,1.0,1.0,0.3794,0.9831,0.4763,0.9773,1.0,1.0,0.325,0.9029,0.3097,0.927,0.5017,0.984,SaiSaahas
Detailed_Study_Plan_2,Detailed_Study_Plan_3,0.4268,0.9788,0.9507,0.9984,1.0,1.0,0.2624,0.9454,0.4818,0.9855,1.0,1.0,0.262,0.9148,0.3858,0.9598,0.4599,0.9905,SaiSaahas
Detailed_Study_Plan_2,Detailed_Study_Plan_4,0.4738,0.9827,0.9507,0.9984,1.0,1.0,0.3846,0.976,0.3678,0.978,1.0,1.0,0.3521,0.9379,0.4878,0.964,0.5104,0.9882,SaiSaahas
Detailed_Study_Plan_3,Detailed_Study_Plan_4,0.5797,0.9864,1.0,1.0,1.0,1.0,0.2791,0.9652,0.4217,0.9834,1.0,1.0,0.2618,0.895,0.5272,0.9688,0.4902,0.987,SaiSaahas
