Plan1,Plan2,ELEVATION_PHASE_BLEU,ELEVATION_PHASE_Cosine,EXECUTIVE_SUMMARY_BLEU,EXECUTIVE_SUMMARY_Cosine,FOOTER_BLEU,FOOTER_Cosine,FOUNDATION_PHASE_BLEU,FOUNDATION_PHASE_Cosine,PEAK_PHASE_BLEU,PEAK_PHASE_Cosine,STATIC_CTA_BLEU,STATIC_CTA_Cosine,THIS_JOURNEY_OF_YOURS_BLEU,THIS_JOURNEY_OF_YOURS_Cosine,TIPS_TO_MAKE_IT_WORK_BEST_BLEU,TIPS_TO_MAKE_IT_WORK_BEST_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Detailed_Study_Plan_1,Detailed_Study_Plan_2,0.465,0.9785,0.977,0.999,1.0,1.0,0.406,0.9814,0.4608,0.9866,1.0,1.0,0.3982,0.9096,0.1647,0.9255,0.5101,0.988,Lakshmi
Detailed_Study_Plan_1,Detailed_Study_Plan_3,0.4174,0.9812,0.9283,0.9949,1.0,1.0,0.3595,0.9675,0.6193,0.986,1.0,1.0,0.4683,0.9516,0.1557,0.902,0.5202,0.9826,Lakshmi
Detailed_Study_Plan_1,Detailed_Study_Plan_4,0.4814,0.9861,0.9879,0.9996,1.0,1.0,0.3839,0.9644,0.5573,0.9907,1.0,1.0,0.6464,0.9099,0.1446,0.9241,0.543,0.9895,Lakshmi
Detailed_Study_Plan_2,Detailed_Study_Plan_3,0.4357,0.9696,0.905,0.9938,1.0,1.0,0.3708,0.9769,0.4628,0.9814,1.0,1.0,0.4975,0.9435,0.2138,0.9117,0.4913,0.9765,Lakshmi
Detailed_Study_Plan_2,Detailed_Study_Plan_4,0.4208,0.9743,0.9722,0.9988,1.0,1.0,0.3801,0.9748,0.4886,0.9875,1.0,1.0,0.4571,0.9582,0.3345,0.9438,0.514,0.9889,Lakshmi
Detailed_Study_Plan_3,Detailed_Study_Plan_4,0.4541,0.9846,0.9163,0.9948,1.0,1.0,0.3978,0.9788,0.6235,0.9891,1.0,1.0,0.5085,0.9402,0.2176,0.8963,0.5394,0.98,Lakshmi
