Plan1,Plan2,ELEVATION_PHASE_BLEU,ELEVATION_PHASE_Cosine,EXECUTIVE_SUMMARY_BLEU,EXECUTIVE_SUMMARY_Cosine,FOOTER_BLEU,FOOTER_Cosine,FOUNDATION_PHASE_BLEU,FOUNDATION_PHASE_Cosine,PEAK_PHASE_BLEU,PEAK_PHASE_Cosine,STATIC_CTA_BLEU,STATIC_CTA_Cosine,THIS_JOURNEY_OF_YOURS_BLEU,THIS_JOURNEY_OF_YOURS_Cosine,TIPS_TO_MAKE_IT_WORK_BEST_BLEU,TIPS_TO_MAKE_IT_WORK_BEST_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Detailed_Study_Plan_1,Detailed_Study_Plan_2,0.4311,0.9789,0.964,0.9993,1.0,1.0,0.4955,0.9773,0.4897,0.9814,1.0,1.0,0.4009,0.9291,0.1866,0.8938,0.5597,0.9852,Toni
Detailed_Study_Plan_1,Detailed_Study_Plan_3,0.556,0.9911,0.8607,0.9853,1.0,1.0,0.3221,0.9661,0.4785,0.9478,1.0,1.0,0.3406,0.9242,0.1671,0.9012,0.5081,0.9805,Toni
Detailed_Study_Plan_1,Detailed_Study_Plan_4,0.4777,0.9732,0.9867,0.9997,1.0,1.0,0.494,0.9899,0.5182,0.9762,1.0,1.0,0.2534,0.9278,0.1762,0.894,0.5571,0.9848,Toni
Detailed_Study_Plan_2,Detailed_Study_Plan_3,0.4549,0.9804,0.8601,0.9846,1.0,1.0,0.334,0.9839,0.4601,0.9706,1.0,1.0,0.3571,0.9517,0.437,0.9591,0.505,0.9875,Toni
Detailed_Study_Plan_2,Detailed_Study_Plan_4,0.5252,0.9866,0.9774,0.9996,1.0,1.0,0.4886,0.9779,0.4953,0.9893,1.0,1.0,0.3137,0.9461,0.3514,0.9602,0.5781,0.9901,Toni
Detailed_Study_Plan_3,Detailed_Study_Plan_4,0.6061,0.9774,0.8558,0.9848,1.0,1.0,0.3312,0.9693,0.4599,0.9723,1.0,1.0,0.28,0.9389,0.3671,0.9608,0.5239,0.9853,Toni
