doc1,doc2,Footer_BLEU,Footer_Cosine,Study Plan Phases_BLEU,Study Plan Phases_Cosine,Want to Go Further?_BLEU,Want to Go Further?_Cosine,What This Means For You_BLEU,What This Means For You_Cosine,Your Learning Persona_BLEU,Your Learning Persona_Cosine,Your SAT Practice Snapshot_BLEU,Your SAT Practice Snapshot_Cosine,math strategies_BLEU,math strategies_Cosine,motivational paragraph_BLEU,motivational paragraph_Cosine,reading writing strategies_BLEU,reading writing strategies_Cosine,study_tips_BLEU,study_tips_Cosine,weekly_schedule_BLEU,weekly_schedule_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Sumedh_2.json,Sumedh_3.json,1.0,1.0,0.3568,0.9495,0.227,0.944,0.3834,0.9419,0.392,0.951,0.2932,0.9356,0.2879,0.9358,0.0236,0.8418,0.3767,0.9211,0.2856,0.891,0.901,0.9926,0.4197,0.9856,Sumedh
Sumedh_2.json,Sumedh_4.json,1.0,1.0,0.2538,0.9482,0.259,0.9332,0.2645,0.9028,0.4931,0.9585,0.1792,0.9463,0.2934,0.923,0.0672,0.8265,0.4321,0.893,0.2292,0.8703,0.6303,0.9676,0.3637,0.982,Sumedh
Sumedh_3.json,Sumedh_4.json,1.0,1.0,0.3044,0.9602,0.3018,0.9635,0.3802,0.9235,0.4316,0.9637,0.188,0.9146,0.2856,0.9446,0.4178,0.9467,0.3643,0.9097,0.2398,0.9145,0.6386,0.9668,0.3974,0.9854,Sumedh
Toni_1.json,Toni_2.json,1.0,1.0,0.3126,0.9522,0.1732,0.9175,0.3593,0.923,0.7894,0.9558,0.2687,0.8626,0.2412,0.8562,0.3806,0.9437,0.2247,0.851,0.4491,0.902,0.83,0.981,0.4644,0.9777,Toni
Toni_1.json,Toni_3.json,1.0,1.0,0.3206,0.953,0.2153,0.9365,0.3056,0.9123,0.3651,0.9605,0.2193,0.9246,0.2404,0.9093,0.2254,0.9286,0.3891,0.8948,0.5014,0.9233,0.9348,0.9891,0.4462,0.9883,Toni
Toni_1.json,Toni_4.json,1.0,1.0,0.2924,0.956,0.2307,0.91,0.4032,0.9291,0.5472,0.9761,0.3926,0.9202,0.1515,0.8351,0.0658,0.8958,0.2458,0.8494,0.4014,0.8629,0.9258,0.995,0.4384,0.9704,Toni
Toni_2.json,Toni_3.json,1.0,1.0,0.3849,0.9569,0.4384,0.952,0.4398,0.9349,0.3798,0.9265,0.2277,0.8679,0.2209,0.8808,0.3019,0.9436,0.4345,0.9223,0.5843,0.9101,0.8693,0.9884,0.4915,0.9851,Toni
Toni_2.json,Toni_4.json,1.0,1.0,0.3196,0.9623,0.5005,0.9645,0.4067,0.9113,0.4424,0.932,0.1508,0.8274,0.1772,0.9105,0.1104,0.9107,0.306,0.9442,0.5448,0.9007,0.7873,0.9814,0.4458,0.9812,Toni
Toni_3.json,Toni_4.json,1.0,1.0,0.4934,0.9613,0.2906,0.9471,0.3068,0.8846,0.3389,0.9652,0.118,0.8971,0.2155,0.8664,0.124,0.8975,0.4194,0.8937,0.505,0.9054,0.8756,0.9835,0.4632,0.9791,Toni
Zoha_1.json,Zoha_2.json,1.0,1.0,0.3499,0.9758,0.2904,0.9271,0.4461,0.9328,0.3429,0.962,0.2891,0.9451,0.2837,0.9359,0.298,0.9362,0.455,0.9245,0.3721,0.887,0.8378,0.9916,0.4652,0.9856,Zoha
Zoha_1.json,Zoha_3.json,1.0,1.0,0.3391,0.9479,0.1564,0.9527,0.5332,0.9136,0.4109,0.9075,0.4442,0.9514,0.2006,0.8937,0.2386,0.933,0.4558,0.9291,0.3681,0.8682,1.0,1.0,0.4885,0.9771,Zoha
Zoha_1.json,Zoha_4.json,1.0,1.0,0.3579,0.9493,0.4088,0.9038,0.6052,0.9529,0.36,0.9111,0.2246,0.9101,0.277,0.9223,0.2424,0.8894,0.4479,0.909,0.4194,0.9009,0.8378,0.992,0.4847,0.9838,Zoha
Zoha_2.json,Zoha_3.json,1.0,1.0,0.4004,0.9468,0.4512,0.9348,0.3847,0.8796,0.6201,0.9108,0.3524,0.9578,0.2151,0.8831,0.3424,0.9349,0.3899,0.9419,0.5467,0.8644,0.8378,0.9916,0.5054,0.9708,Zoha
Zoha_2.json,Zoha_4.json,1.0,1.0,0.3745,0.9329,0.3291,0.9459,0.4204,0.9242,0.4243,0.9001,0.1469,0.9281,0.3025,0.9307,0.2858,0.8937,0.3713,0.9281,0.5493,0.9151,1.0,0.9994,0.4817,0.9791,Zoha
Zoha_3.json,Zoha_4.json,1.0,1.0,0.4845,0.9709,0.2491,0.8973,0.5729,0.9359,0.606,0.9835,0.2626,0.9169,0.2134,0.8914,0.344,0.897,0.4075,0.9299,0.4987,0.8972,0.8378,0.9916,0.5217,0.9833,Zoha
