doc1,doc2,Elevation_BLEU,Elevation_Cosine,Footer_BLEU,Footer_Cosine,Foundation_BLEU,Foundation_Cosine,Peak_BLEU,Peak_Cosine,Want to Go Further?_BLEU,Want to Go Further?_Cosine,What This Means For You_BLEU,What This Means For You_Cosine,Your Learning Persona_BLEU,Your Learning Persona_Cosine,Your SAT Practice Snapshot_BLEU,Your SAT Practice Snapshot_Cosine,math strategies_BLEU,math strategies_Cosine,motivational paragraph_BLEU,motivational paragraph_Cosine,reading writing strategies_BLEU,reading writing strategies_Cosine,study_tips_BLEU,study_tips_Cosine,weekly_schedule_BLEU,weekly_schedule_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Ishan_2.json,Ishan_4.json,0.2401,0.8283,1.0,1.0,0.27,0.9088,0.3455,0.9355,0.0256,0.881,0.3466,0.9179,0.3021,0.9274,0.3537,0.8992,0.3502,0.9156,0.1503,0.8769,0.1961,0.8323,0.4519,0.9513,0.9323,0.9949,0.4046,0.9764,Ishan
Ishan_3.json,Ishan_4.json,0.1059,0.8189,1.0,1.0,0.264,0.9238,0.2558,0.8977,0.2971,0.9459,0.2031,0.8993,0.1363,0.9359,0.3601,0.9396,0.3646,0.9153,0.1817,0.8803,0.094,0.8324,0.1536,0.8139,0.9323,0.9949,0.3547,0.9742,Ishan
Jevinn_1.json,Jevinn_2.json,0.3434,0.8279,1.0,1.0,0.4781,0.9835,0.1158,0.7949,0.1775,0.8073,0.3543,0.938,0.2527,0.9188,0.4564,0.966,0.2144,0.8513,0.0125,0.8063,0.2827,0.8973,0.1945,0.9019,0.847,0.9907,0.3785,0.9597,Jevinn
Jevinn_1.json,Jevinn_3.json,0.3629,0.9312,1.0,1.0,0.4824,0.9846,0.1817,0.9295,0.4238,0.9805,0.3877,0.9565,0.5964,0.9187,0.256,0.927,0.5687,0.9229,0.1044,0.8133,0.6348,0.9555,0.1766,0.8563,0.7995,0.9887,0.4754,0.9784,Jevinn
Jevinn_1.json,Jevinn_4.json,0.2678,0.8194,1.0,1.0,0.4053,0.944,0.1347,0.845,0.184,0.8091,0.2204,0.9029,0.4803,0.9287,0.3912,0.9586,0.0943,0.759,0.1166,0.7849,0.1977,0.8809,0.178,0.9234,0.8437,0.9806,0.3787,0.959,Jevinn
Jevinn_2.json,Jevinn_3.json,0.2517,0.8469,1.0,1.0,0.6072,0.988,0.2427,0.8295,0.2031,0.8025,0.3544,0.9403,0.2818,0.962,0.124,0.944,0.2536,0.8267,0.211,0.913,0.2408,0.8703,0.2639,0.8907,0.9275,0.9954,0.4012,0.972,Jevinn
Jevinn_2.json,Jevinn_4.json,0.3482,0.898,1.0,1.0,0.4411,0.9436,0.1932,0.8371,0.4663,0.9586,0.3023,0.8731,0.3123,0.9696,0.6325,0.9739,0.0953,0.7929,0.1689,0.9455,0.1908,0.8487,0.2104,0.9291,0.8378,0.986,0.4485,0.9743,Jevinn
Jevinn_3.json,Jevinn_4.json,0.3283,0.8731,1.0,1.0,0.505,0.9494,0.2588,0.8782,0.1205,0.8033,0.2269,0.893,0.4744,0.969,0.1221,0.9353,0.0986,0.7745,0.26,0.8946,0.1896,0.8805,0.1722,0.8814,0.7965,0.9868,0.3876,0.9709,Jevinn
Ronit_1.json,Ronit_2.json,0.4125,0.9463,1.0,1.0,0.3355,0.9149,0.2195,0.8666,0.2107,0.9495,0.56,0.9366,0.2818,0.9381,0.3226,0.9579,0.1725,0.8622,0.0693,0.7641,0.2714,0.8832,0.4323,0.9442,0.9462,0.9938,0.4191,0.9883,Ronit
Ronit_1.json,Ronit_3.json,0.2903,0.9004,1.0,1.0,0.2148,0.8691,0.1754,0.8353,0.1891,0.8362,0.4464,0.9233,0.4091,0.872,0.6447,0.9678,0.1144,0.8414,0.7503,0.9325,0.1321,0.8286,0.3848,0.9056,0.9112,0.9958,0.4937,0.9759,Ronit
Ronit_1.json,Ronit_4.json,0.3244,0.9358,1.0,1.0,0.1997,0.8802,0.1766,0.8467,0.452,0.9529,0.3385,0.8856,0.2841,0.929,0.5875,0.9695,0.0354,0.7839,0.0249,0.6732,0.0709,0.7609,0.2797,0.8593,0.9085,0.997,0.4094,0.9836,Ronit
Ronit_2.json,Ronit_3.json,0.1954,0.8917,1.0,1.0,0.1989,0.88,0.2469,0.8266,0.1444,0.856,0.5123,0.9619,0.2566,0.906,0.3844,0.9649,0.1647,0.857,0.1236,0.8332,0.1984,0.8616,0.4663,0.9356,0.8708,0.9909,0.4053,0.9774,Ronit
