doc1,doc2,Footer_BLEU,Footer_Cosine,Math Strategies_BLEU,Math Strategies_Cosine,Reading Writing Strategies_BLEU,Reading Writing Strategies_Cosine,Sample Weekly Schedule_BLEU,Sample Weekly Schedule_Cosine,Study Plan Phases_BLEU,Study Plan Phases_Cosine,Study Tips_BLEU,Study Tips_Cosine,Summary_BLEU,Summary_Cosine,Want to Go Further?_BLEU,Want to Go Further?_Cosine,What This Means For You_BLEU,What This Means For You_Cosine,Your Learning Persona_BLEU,Your Learning Persona_Cosine,Your SAT Practice Snapshot_BLEU,Your SAT Practice Snapshot_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Jevinn_1.json,Jevinn_4.json,1.0,1.0,0.3323,0.9103,0.2589,0.8848,1.0,1.0,0.3574,0.9529,0.4368,0.9411,0.1721,0.9552,0.1692,0.9386,0.4826,0.9813,0.8915,0.9943,0.7322,0.9882,0.5842,0.9927,Jevinn
Jevinn_2.json,Jevinn_3.json,1.0,1.0,0.2525,0.9035,0.396,0.9053,0.788,0.9626,0.3001,0.9557,0.5003,0.9012,0.2327,0.9432,0.3353,0.8734,0.4007,0.9768,0.2386,0.978,0.4257,0.9782,0.5126,0.991,Jevinn
Jevinn_2.json,Jevinn_4.json,1.0,1.0,0.2661,0.9202,0.3075,0.9019,0.8552,0.976,0.3676,0.9594,0.4136,0.9457,0.1564,0.9359,0.3319,0.8743,0.3515,0.9648,0.284,0.9772,0.3794,0.9752,0.5048,0.9881,Jevinn
Jevinn_3.json,Jevinn_4.json,1.0,1.0,0.3701,0.9235,0.2757,0.8636,0.9339,0.9894,0.3581,0.9612,0.3959,0.9187,0.1586,0.9393,0.3812,0.9451,0.4128,0.9514,0.6573,0.992,0.3553,0.9707,0.5348,0.9859,Jevinn
Ronit_1.json,Ronit_2.json,1.0,1.0,0.1699,0.8482,0.2441,0.8877,0.8761,0.9598,0.3951,0.9478,0.35,0.8979,0.1138,0.8931,0.4705,0.8969,0.5004,0.9727,0.2598,0.9721,0.3715,0.9739,0.5097,0.9858,Ronit
Ronit_1.json,Ronit_3.json,1.0,1.0,0.3828,0.9494,0.3464,0.9393,0.9934,0.9879,0.2706,0.9522,0.348,0.8831,0.1152,0.9116,0.0949,0.8551,0.3315,0.9554,0.2812,0.9712,0.4066,0.9728,0.5031,0.9837,Ronit
Ronit_1.json,Ronit_4.json,1.0,1.0,0.3453,0.9384,0.4121,0.9439,0.9866,0.9866,0.3369,0.9583,0.3399,0.9205,0.0567,0.8612,0.1916,0.8563,0.5753,0.9684,0.4296,0.967,0.3812,0.9666,0.5441,0.9881,Ronit
Ronit_2.json,Ronit_3.json,1.0,1.0,0.1229,0.8659,0.2402,0.9161,0.8829,0.9724,0.3863,0.9426,0.4097,0.9184,0.0268,0.8717,0.1132,0.9265,0.4488,0.9632,0.4165,0.982,0.4704,0.98,0.5202,0.9871,Ronit
Ronit_2.json,Ronit_4.json,1.0,1.0,0.1908,0.8825,0.2554,0.8751,0.8829,0.9738,0.3638,0.9562,0.3909,0.9483,0.095,0.8949,0.2144,0.9212,0.4285,0.9562,0.5895,0.9815,0.4114,0.9675,0.5222,0.9891,Ronit
Ronit_3.json,Ronit_4.json,1.0,1.0,0.329,0.9275,0.4326,0.9376,0.9934,0.9986,0.3025,0.956,0.4829,0.9285,0.2239,0.913,0.073,0.9058,0.3078,0.9348,0.3367,0.9675,0.5246,0.9763,0.5258,0.9899,Ronit
Aarthi_1.json,Aarthi_2.json,1.0,1.0,0.1698,0.9363,0.4294,0.9416,0.8747,0.9923,0.2637,0.9674,0.2909,0.9543,0.3741,0.9235,0.3031,0.972,0.3751,0.9593,0.5311,0.9811,0.8773,0.9924,0.5402,0.9921,SAT Prompt and Inputs
Aarthi_1.json,Jevinn_1.json,1.0,1.0,0.113,0.8534,0.3351,0.8488,0.6861,0.9501,0.2224,0.9276,0.2316,0.8524,0.124,0.884,0.4095,0.9594,0.1403,0.9293,0.2641,0.8406,0.3081,0.9269,0.4216,0.9765,SAT Prompt and Inputs
Aarthi_1.json,Jevinn_2.json,1.0,1.0,0.0815,0.8416,0.2167,0.863,0.69,0.9514,0.2336,0.9085,0.3307,0.9142,0.0856,0.8757,0.1076,0.9289,0.1816,0.9262,0.2051,0.852,0.1771,0.9277,0.3838,0.9742,SAT Prompt and Inputs
Aarthi_2.json,Jevinn_1.json,1.0,1.0,0.0754,0.8189,0.1941,0.8461,0.8048,0.9622,0.2996,0.9245,0.3027,0.854,0.1533,0.897,0.3974,0.9623,0.152,0.9173,0.251,0.8351,0.3081,0.9209,0.4356,0.9758,SAT Prompt and Inputs
Aarthi_2.json,Jevinn_2.json,1.0,1.0,0.2333,0.8275,0.1651,0.8718,0.8084,0.9625,0.3573,0.9082,0.3701,0.9211,0.0973,0.8801,0.2359,0.9346,0.175,0.9122,0.2093,0.8345,0.176,0.925,0.4245,0.9743,SAT Prompt and Inputs
Jevinn_1.json,Jevinn_2.json,1.0,1.0,0.2736,0.9386,0.3341,0.9179,0.9933,0.9993,0.636,0.9844,0.319,0.887,0.0325,0.826,0.2385,0.9571,0.4108,0.9554,0.1763,0.9463,0.4015,0.9714,0.5338,0.9868,SAT Prompt and Inputs
Sumedh_1.json,Sumedh_2.json,1.0,1.0,0.2458,0.8807,0.1599,0.9038,0.94,0.9615,0.2268,0.8922,0.3399,0.9364,0.1898,0.8571,0.5019,0.9382,0.3147,0.9542,0.3129,0.9729,0.0997,0.8933,0.471,0.9845,Sumedh
Sumedh_1.json,Sumedh_3.json,1.0,1.0,0.1324,0.828,0.2241,0.9071,0.8764,0.9706,0.219,0.9279,0.2872,0.8404,0.2639,0.9313,0.3382,0.9713,0.1965,0.9479,0.8917,0.9951,0.3437,0.9485,0.504,0.9841,Sumedh
Sumedh_1.json,Sumedh_4.json,1.0,1.0,0.2991,0.8899,0.246,0.8813,0.8799,0.9723,0.2548,0.9435,0.2082,0.9151,0.3216,0.9342,0.2837,0.9648,0.1789,0.9537,0.5584,0.985,0.5256,0.9613,0.4856,0.9859,Sumedh
Sumedh_2.json,Sumedh_3.json,1.0,1.0,0.2544,0.8527,0.3546,0.9383,0.9367,0.9563,0.3997,0.9645,0.2591,0.8279,0.1722,0.8951,0.2589,0.9155,0.1643,0.9196,0.298,0.9737,0.1204,0.9251,0.4659,0.9785,Sumedh
Sumedh_2.json,Sumedh_4.json,1.0,1.0,0.306,0.9204,0.1833,0.8679,0.9402,0.968,0.2628,0.913,0.2482,0.9356,0.2009,0.8981,0.1263,0.9119,0.1924,0.9255,0.299,0.9743,0.0921,0.9134,0.4366,0.981,Sumedh
Sumedh_3.json,Sumedh_4.json,1.0,1.0,0.2493,0.8641,0.3133,0.8934,0.993,0.9953,0.4049,0.9468,0.151,0.7862,0.4765,0.975,0.4858,0.9627,0.4265,0.9571,0.5153,0.9875,0.4104,0.9647,0.5434,0.9877,Sumedh
Toni_1.json,Toni_2.json,1.0,1.0,0.1895,0.9072,0.3935,0.9266,0.8921,0.9748,0.419,0.9519,0.4773,0.9237,0.1586,0.9215,0.3798,0.9437,0.3078,0.9528,0.8627,0.9905,0.6314,0.9647,0.5842,0.9885,Toni
Toni_1.json,Toni_3.json,1.0,1.0,0.2906,0.9101,0.4971,0.9401,0.9251,0.9906,0.2801,0.9643,0.4803,0.9117,0.3514,0.9182,0.2368,0.9139,0.4478,0.9641,0.4646,0.9749,0.4938,0.9645,0.5622,0.9891,Toni
Toni_1.json,Toni_4.json,1.0,1.0,0.3772,0.9458,0.5183,0.9422,0.8714,0.9915,0.3704,0.9764,0.4269,0.9317,0.0108,0.6961,0.0154,0.5613,0.1264,0.8652,0.3087,0.8615,0.2655,0.9707,0.4746,0.9521,Toni
Toni_2.json,Toni_3.json,1.0,1.0,0.1996,0.8756,0.3595,0.9229,0.9063,0.9784,0.3288,0.9465,0.4328,0.9284,0.2437,0.9208,0.2004,0.9061,0.3151,0.943,0.4171,0.9734,0.6976,0.9925,0.5327,0.9852,Toni
Toni_2.json,Toni_4.json,1.0,1.0,0.2894,0.9029,0.4928,0.9381,0.8098,0.9659,0.2787,0.9509,0.4275,0.9205,0.0259,0.7129,0.0874,0.5419,0.2456,0.8624,0.3068,0.8677,0.2364,0.9456,0.4675,0.9512,Toni
Toni_3.json,Toni_4.json,1.0,1.0,0.3147,0.8978,0.4546,0.9371,0.8752,0.9937,0.3707,0.9712,0.4077,0.9071,0.0115,0.7145,0.028,0.5443,0.1388,0.8401,0.2462,0.865,0.2192,0.9503,0.4617,0.9433,Toni
Zoha_1.json,Zoha_2.json,1.0,1.0,0.208,0.8751,0.2574,0.9079,0.8912,0.9882,0.2527,0.9467,0.3976,0.9261,0.3283,0.9484,0.2465,0.8836,0.2247,0.9457,0.4797,0.9762,0.1282,0.9081,0.4578,0.9792,Zoha
Zoha_1.json,Zoha_3.json,1.0,1.0,0.2275,0.8735,0.3768,0.943,1.0,1.0,0.4144,0.9671,0.3865,0.9121,0.144,0.9167,0.0664,0.6343,0.333,0.9542,0.1892,0.8322,0.4992,0.9838,0.4931,0.9651,Zoha
Zoha_1.json,Zoha_4.json,1.0,1.0,0.2423,0.8873,0.2451,0.8954,0.9931,0.9994,0.3282,0.9446,0.337,0.911,0.258,0.9098,0.0114,0.6038,0.3198,0.9586,0.2436,0.8406,0.4994,0.9821,0.4873,0.9623,Zoha
Zoha_2.json,Zoha_3.json,1.0,1.0,0.2985,0.8921,0.3059,0.9041,0.8911,0.9882,0.2046,0.9488,0.4127,0.9191,0.3203,0.9259,0.1524,0.602,0.2626,0.9399,0.1787,0.8309,0.1493,0.9258,0.4515,0.9672,Zoha
Zoha_2.json,Zoha_4.json,1.0,1.0,0.2851,0.9325,0.3671,0.9343,0.8983,0.989,0.2516,0.9641,0.3935,0.9084,0.2425,0.9194,0.1098,0.6461,0.2577,0.9443,0.2641,0.8353,0.1462,0.9194,0.4498,0.9675,Zoha
Zoha_3.json,Zoha_4.json,1.0,1.0,0.2544,0.8833,0.3342,0.9299,0.9931,0.9994,0.3237,0.962,0.4535,0.9379,0.2467,0.955,0.4329,0.9461,0.3218,0.9622,0.382,0.9755,0.8406,0.9935,0.5457,0.9893,Zoha
