doc1,doc2,Study Plan Phases_Cosine,Want to Go Further?_Cosine,What This Means For You_Cosine,Your Learning Persona_Cosine,Your SAT Practice Snapshot_Cosine,math strategies_Cosine,motivational paragraph_Cosine,reading writing strategies_Cosine,study_tips_Cosine,weekly_schedule_Cosine,User
Sumedh_3.json,Sumedh_4.json,0.9645,0.9823,0.9391,0.968,0.9176,0.9522,0.953,0.9209,0.9053,0.9613,Sumedh
Toni_1.json,Toni_2.json,0.9501,0.9317,0.9379,0.9597,0.8568,0.8852,0.9488,0.871,0.9122,0.9733,Toni
Toni_1.json,Toni_3.json,0.9515,0.9576,0.9285,0.9692,0.9352,0.8988,0.9508,0.9114,0.9199,0.9808,Toni
Toni_1.json,Toni_4.json,0.9711,0.9169,0.9512,0.9801,0.9197,0.8606,0.9343,0.8567,0.8676,0.9874,Toni
Toni_2.json,Toni_3.json,0.9605,0.9597,0.9448,0.9426,0.8699,0.9106,0.949,0.9422,0.9244,0.991,Toni
Toni_2.json,Toni_4.json,0.9624,0.97,0.9353,0.9475,0.8297,0.9118,0.9309,0.9315,0.9058,0.9696,Toni
Toni_3.json,Toni_4.json,0.9712,0.9493,0.9066,0.9756,0.8978,0.8966,0.9294,0.9022,0.9111,0.9708,Toni
Zoha_1.json,Zoha_2.json,0.9766,0.958,0.9449,0.9677,0.9582,0.9411,0.9385,0.9303,0.8838,0.9879,Zoha
Zoha_1.json,Zoha_3.json,0.9468,0.9654,0.9478,0.9334,0.9683,0.9167,0.9454,0.9361,0.8824,1,Zoha
Zoha_1.json,Zoha_4.json,0.9512,0.9228,0.9637,0.9412,0.919,0.935,0.9103,0.9126,0.9042,0.9878,Zoha
Zoha_2.json,Zoha_3.json,0.9482,0.9554,0.9128,0.9405,0.9727,0.9007,0.9434,0.9403,0.8894,0.9878,Zoha
Zoha_2.json,Zoha_4.json,0.94,0.9411,0.9437,0.9351,0.9323,0.936,0.9086,0.9292,0.9292,1,Zoha
Zoha_3.json,Zoha_4.json,0.9725,0.9078,0.9625,0.9848,0.9264,0.9111,0.9177,0.922,0.9074,0.9879,Zoha
