Plan1,Plan2,ELEVATION_PHASE_BLEU,ELEVATION_PHASE_Cosine,EXECUTIVE_SUMMARY_BLEU,EXECUTIVE_SUMMARY_Cosine,FOOTER_BLEU,FOOTER_Cosine,FOUNDATION_PHASE_BLEU,FOUNDATION_PHASE_Cosine,PEAK_PHASE_BLEU,PEAK_PHASE_Cosine,STATIC_CTA_BLEU,STATIC_CTA_Cosine,THIS_JOURNEY_OF_YOURS_BLEU,THIS_JOURNEY_OF_YOURS_Cosine,TIPS_TO_MAKE_IT_WORK_BEST_BLEU,TIPS_TO_MAKE_IT_WORK_BEST_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Detailed_Study_Plan_1,Detailed_Study_Plan_2,0.4832,0.9878,1.0,1.0,1.0,1.0,0.4208,0.9781,0.5038,0.9829,1.0,1.0,0.3116,0.961,0.3208,0.9417,0.5368,0.9856,Aarthi
Detailed_Study_Plan_1,Detailed_Study_Plan_3,0.3895,0.9778,0.9143,0.9945,1.0,1.0,0.31,0.9723,0.3727,0.9638,1.0,1.0,0.2524,0.9529,0.2058,0.9288,0.4414,0.9786,Aarthi
Detailed_Study_Plan_1,Detailed_Study_Plan_4,0.4819,0.9862,0.9653,0.9987,1.0,1.0,0.3599,0.9734,0.5879,0.9847,1.0,1.0,0.3299,0.959,0.424,0.9597,0.5319,0.9879,Aarthi
Detailed_Study_Plan_2,Detailed_Study_Plan_3,0.3917,0.978,0.9143,0.9944,1.0,1.0,0.3389,0.98,0.4293,0.9585,1.0,1.0,0.3149,0.9554,0.2426,0.9458,0.4701,0.9859,Aarthi
Detailed_Study_Plan_2,Detailed_Study_Plan_4,0.436,0.9859,0.9653,0.9987,1.0,1.0,0.3818,0.9783,0.5127,0.9838,1.0,1.0,0.2296,0.9516,0.4726,0.9567,0.5307,0.9869,Aarthi
Detailed_Study_Plan_3,Detailed_Study_Plan_4,0.3841,0.9789,0.8847,0.9939,1.0,1.0,0.3605,0.972,0.4289,0.9648,1.0,1.0,0.2805,0.9539,0.2528,0.9479,0.4722,0.981,Aarthi
