Plan1,Plan2,ELEVATION_PHASE_BLEU,ELEVATION_PHASE_Cosine,EXECUTIVE_SUMMARY_BLEU,EXECUTIVE_SUMMARY_Cosine,FOOTER_BLEU,FOOTER_Cosine,FOUNDATION_PHASE_BLEU,FOUNDATION_PHASE_Cosine,PEAK_PHASE_BLEU,PEAK_PHASE_Cosine,STATIC_CTA_BLEU,STATIC_CTA_Cosine,THIS_JOURNEY_OF_YOURS_BLEU,THIS_JOURNEY_OF_YOURS_Cosine,TIPS_TO_MAKE_IT_WORK_BEST_BLEU,TIPS_TO_MAKE_IT_WORK_BEST_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Detailed_Study_Plan_1,Detailed_Study_Plan_2,0.4645,0.9802,0.8445,0.9892,1.0,1.0,0.4384,0.9808,0.4941,0.9858,1.0,1.0,0.2552,0.9382,0.3017,0.9308,0.54,0.9884,Ishan
Detailed_Study_Plan_1,Detailed_Study_Plan_3,0.5009,0.983,0.9832,0.9995,1.0,1.0,0.3833,0.9767,0.5416,0.9921,1.0,1.0,0.4994,0.972,0.3394,0.9462,0.5382,0.9894,Ishan
Detailed_Study_Plan_1,Detailed_Study_Plan_4,0.515,0.9813,0.8688,0.9935,1.0,1.0,0.4314,0.977,0.4958,0.9831,1.0,1.0,0.5121,0.976,0.2983,0.9307,0.549,0.9893,Ishan
Detailed_Study_Plan_2,Detailed_Study_Plan_3,0.4807,0.9825,0.841,0.9886,1.0,1.0,0.4781,0.9746,0.4894,0.9865,1.0,1.0,0.2724,0.9282,0.1529,0.9146,0.5267,0.9878,Ishan
Detailed_Study_Plan_2,Detailed_Study_Plan_4,0.452,0.9781,0.9686,0.9966,1.0,1.0,0.5192,0.9807,0.4726,0.9832,1.0,1.0,0.2423,0.9438,0.611,0.9705,0.5828,0.9901,Ishan
Detailed_Study_Plan_3,Detailed_Study_Plan_4,0.5171,0.9814,0.8645,0.9931,1.0,1.0,0.4747,0.9734,0.5306,0.9875,1.0,1.0,0.6505,0.9742,0.1554,0.925,0.5715,0.9926,Ishan
