Plan1,Plan2,ELEVATION_PHASE_BLEU,ELEVATION_PHASE_Cosine,EXECUTIVE_SUMMARY_BLEU,EXECUTIVE_SUMMARY_Cosine,FOOTER_BLEU,FOOTER_Cosine,FOUNDATION_PHASE_BLEU,FOUNDATION_PHASE_Cosine,PEAK_PHASE_BLEU,PEAK_PHASE_Cosine,STATIC_CTA_BLEU,STATIC_CTA_Cosine,THIS_JOURNEY_OF_YOURS_BLEU,THIS_JOURNEY_OF_YOURS_Cosine,TIPS_TO_MAKE_IT_WORK_BEST_BLEU,TIPS_TO_MAKE_IT_WORK_BEST_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Detailed_Study_Plan_1,Detailed_Study_Plan_2,0.4145,0.9774,0.9762,0.9962,1.0,1.0,0.2968,0.9768,0.3546,0.9769,1.0,1.0,0.1731,0.8691,0.3347,0.9655,0.4622,0.9856,Vaishnavi
Detailed_Study_Plan_1,Detailed_Study_Plan_3,0.448,0.9865,0.9762,0.9962,1.0,1.0,0.2913,0.9728,0.4305,0.973,1.0,1.0,0.2108,0.8868,0.2648,0.9504,0.4654,0.9834,Vaishnavi
Detailed_Study_Plan_1,Detailed_Study_Plan_4,0.4929,0.9864,0.9497,0.9972,1.0,1.0,0.3515,0.9831,0.335,0.9753,1.0,1.0,0.2126,0.8834,0.2025,0.9278,0.4752,0.9838,Vaishnavi
Detailed_Study_Plan_2,Detailed_Study_Plan_3,0.4444,0.9726,1.0,0.9971,1.0,1.0,0.4032,0.9807,0.5032,0.9881,1.0,1.0,0.6214,0.9762,0.4044,0.9638,0.5536,0.9888,Vaishnavi
Detailed_Study_Plan_2,Detailed_Study_Plan_4,0.4174,0.976,0.9628,0.9952,1.0,1.0,0.3161,0.9762,0.4897,0.9929,1.0,1.0,0.5824,0.9808,0.2414,0.933,0.4915,0.9896,Vaishnavi
Detailed_Study_Plan_3,Detailed_Study_Plan_4,0.4669,0.9832,0.9628,0.9952,1.0,1.0,0.3186,0.9714,0.4547,0.9865,1.0,1.0,0.4887,0.9703,0.2011,0.9251,0.4881,0.9903,Vaishnavi
