Plan1,Plan2,ELEVATION_PHASE_BLEU,ELEVATION_PHASE_Cosine,EXECUTIVE_SUMMARY_BLEU,EXECUTIVE_SUMMARY_Cosine,FOOTER_BLEU,FOOTER_Cosine,FOUNDATION_PHASE_BLEU,FOUNDATION_PHASE_Cosine,PEAK_PHASE_BLEU,PEAK_PHASE_Cosine,STATIC_CTA_BLEU,STATIC_CTA_Cosine,THIS_JOURNEY_OF_YOURS_BLEU,THIS_JOURNEY_OF_YOURS_Cosine,TIPS_TO_MAKE_IT_WORK_BEST_BLEU,TIPS_TO_MAKE_IT_WORK_BEST_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Detailed_Study_Plan_1,Detailed_Study_Plan_2,0.5176,0.9839,0.8578,0.9813,1.0,1.0,0.394,0.9604,0.496,0.9617,1.0,1.0,0.1759,0.9246,0.4748,0.9752,0.5366,0.9885,IshanaPotti
Detailed_Study_Plan_1,Detailed_Study_Plan_3,0.343,0.9732,0.8567,0.9796,1.0,1.0,0.3564,0.9676,0.4466,0.959,1.0,1.0,0.2721,0.9317,0.4069,0.9717,0.4795,0.9851,IshanaPotti
Detailed_Study_Plan_1,Detailed_Study_Plan_4,0.4142,0.9782,0.8578,0.9812,1.0,1.0,0.4252,0.9833,0.4612,0.9769,1.0,1.0,0.3037,0.9101,0.3288,0.9662,0.516,0.9875,IshanaPotti
Detailed_Study_Plan_2,Detailed_Study_Plan_3,0.3389,0.9683,0.9877,0.9987,1.0,1.0,0.3381,0.9682,0.4422,0.9876,1.0,1.0,0.13,0.9075,0.4107,0.9696,0.468,0.9823,IshanaPotti
Detailed_Study_Plan_2,Detailed_Study_Plan_4,0.4139,0.9796,1.0,1.0,1.0,1.0,0.3469,0.9611,0.5023,0.9821,1.0,1.0,0.1542,0.8974,0.27,0.9595,0.4916,0.9856,IshanaPotti
Detailed_Study_Plan_3,Detailed_Study_Plan_4,0.3197,0.9653,0.9877,0.9987,1.0,1.0,0.3363,0.9659,0.4912,0.9794,1.0,1.0,0.2313,0.9263,0.3373,0.9609,0.4827,0.9876,IshanaPotti
