doc1,doc2,Footer_BLEU,Footer_Cosine,Want to Go Further?_BLEU,Want to Go Further?_Cosine,What This Means For You_BLEU,What This Means For You_Cosine,Your Learning Persona_BLEU,Your Learning Persona_Cosine,Your SAT Practice Snapshot_BLEU,Your SAT Practice Snapshot_Cosine,Your Study Plan: Based on You_BLEU,Your Study Plan: Based on You_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Jevinn_3.json,Jevinn_4.json,1.0,1.0,0.1458,0.4885,0.2133,0.5989,0.2353,0.6492,0.2031,0.6761,0.296,0.8478,0.2922,0.914,Jevinn
Ronit_1.json,Ronit_2.json,1.0,1.0,0.1112,0.5519,0.2658,0.7088,0.232,0.5147,0.2729,0.5806,0.3495,0.8796,0.3328,0.9189,Ronit
Ronit_1.json,Ronit_3.json,1.0,1.0,0.0683,0.5036,0.1486,0.6334,0.2,0.5649,0.1131,0.5772,0.3261,0.8687,0.2991,0.9115,Ronit
Ronit_1.json,Ronit_4.json,1.0,1.0,0.2185,0.5836,0.1515,0.6093,0.0755,0.4291,0.1917,0.6044,0.2551,0.8651,0.272,0.9167,Ronit
Ronit_2.json,Ronit_3.json,1.0,1.0,0.0132,0.4652,0.1504,0.6301,0.1271,0.6027,0.0741,0.6108,0.3284,0.8906,0.2854,0.9276,Ronit
Ronit_2.json,Ronit_4.json,1.0,1.0,0.0931,0.5293,0.1579,0.6427,0.184,0.5543,0.0909,0.5452,0.2805,0.8779,0.2683,0.92,Ronit
Ronit_3.json,Ronit_4.json,1.0,1.0,0.0938,0.5146,0.2637,0.6802,0.1106,0.5672,0.0678,0.5408,0.3154,0.886,0.2912,0.9297,Ronit
Sumedh_1.json,Sumedh_2.json,1.0,1.0,0.2298,0.6366,0.0911,0.6239,0.1777,0.448,0.2104,0.6015,0.3105,0.841,0.2997,0.9054,Sumedh
Sumedh_1.json,Sumedh_3.json,1.0,1.0,0.0664,0.4786,0.1296,0.6151,0.143,0.4728,0.1182,0.5614,0.277,0.8076,0.2553,0.8918,Sumedh
Sumedh_1.json,Sumedh_4.json,1.0,1.0,0.2744,0.6836,0.0617,0.5254,0.1773,0.6127,0.2718,0.6284,0.2701,0.85,0.2888,0.9192,Sumedh
Sumedh_2.json,Sumedh_3.json,1.0,1.0,0.0303,0.448,0.16,0.6651,0.1078,0.5094,0.2031,0.5792,0.2299,0.8171,0.2339,0.8989,Sumedh
Sumedh_2.json,Sumedh_4.json,1.0,1.0,0.1683,0.5988,0.212,0.5699,0.1367,0.5306,0.1295,0.5932,0.2815,0.8514,0.2863,0.9172,Sumedh
Sumedh_3.json,Sumedh_4.json,1.0,1.0,0.0263,0.4532,0.0692,0.5394,0.1644,0.5354,0.0403,0.5786,0.2276,0.8315,0.2292,0.9003,Sumedh
Toni_1.json,Toni_2.json,1.0,1.0,0.0386,0.5752,0.2151,0.7514,0.245,0.6536,0.1443,0.6433,0.3291,0.8571,0.3169,0.9262,Toni
Toni_1.json,Toni_3.json,1.0,1.0,0.0442,0.5234,0.1311,0.713,0.1405,0.5652,0.1288,0.6717,0.3782,0.8849,0.3164,0.9287,Toni
Toni_1.json,Toni_4.json,1.0,1.0,0.0279,0.5544,0.2919,0.7801,0.1563,0.6011,0.0295,0.5672,0.3848,0.8888,0.346,0.9322,Toni
Toni_2.json,Toni_3.json,1.0,1.0,0.1591,0.576,0.2058,0.748,0.1421,0.5206,0.1031,0.5584,0.3566,0.8774,0.3198,0.9218,Toni
Toni_2.json,Toni_4.json,1.0,1.0,0.192,0.5777,0.3721,0.7491,0.2081,0.5884,0.0259,0.4593,0.3397,0.8961,0.3319,0.9304,Toni
Toni_3.json,Toni_4.json,1.0,1.0,0.1889,0.6307,0.1388,0.7101,0.1929,0.5861,0.1626,0.6295,0.363,0.8963,0.3265,0.9324,Toni
Zoha_1.json,Zoha_2.json,1.0,1.0,0.1483,0.5619,0.1584,0.5773,0.1548,0.5045,0.1619,0.6608,0.2804,0.8547,0.2716,0.9072,Zoha
Zoha_1.json,Zoha_3.json,1.0,1.0,0.1331,0.4998,0.1355,0.5845,0.1318,0.4924,0.1296,0.6399,0.2421,0.8156,0.2465,0.8997,Zoha
Zoha_1.json,Zoha_4.json,1.0,1.0,0.126,0.5993,0.2433,0.7224,0.0963,0.4579,0.1647,0.6159,0.3241,0.8665,0.2998,0.9195,Zoha
Zoha_2.json,Zoha_3.json,1.0,1.0,0.0963,0.4734,0.1294,0.5694,0.1163,0.4637,0.2047,0.643,0.315,0.859,0.2917,0.9096,Zoha
Zoha_2.json,Zoha_4.json,1.0,1.0,0.0661,0.5539,0.1303,0.5755,0.1225,0.4859,0.1546,0.7015,0.2801,0.8616,0.2596,0.92,Zoha
Zoha_3.json,Zoha_4.json,1.0,1.0,0.1307,0.5018,0.0986,0.5527,0.1339,0.4666,0.1081,0.6515,0.2234,0.8313,0.2274,0.903,Zoha
