Plan1,Plan2,ELEVATION_PHASE_BLEU,ELEVATION_PHASE_Cosine,EXECUTIVE_SUMMARY_BLEU,EXECUTIVE_SUMMARY_Cosine,FOOTER_BLEU,FOOTER_Cosine,FOUNDATION_PHASE_BLEU,FOUNDATION_PHASE_Cosine,PEAK_PHASE_BLEU,PEAK_PHASE_Cosine,STATIC_CTA_BLEU,STATIC_CTA_Cosine,THIS_JOURNEY_OF_YOURS_BLEU,THIS_JOURNEY_OF_YOURS_Cosine,TIPS_TO_MAKE_IT_WORK_BEST_BLEU,TIPS_TO_MAKE_IT_WORK_BEST_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Detailed_Study_Plan_1,Detailed_Study_Plan_2,0.4421,0.9814,0.8949,0.9971,1.0,1.0,0.415,0.9726,0.4709,0.9867,1.0,1.0,0.2788,0.946,0.2543,0.9284,0.5161,0.9819,Meenakshi
Detailed_Study_Plan_1,Detailed_Study_Plan_3,0.4422,0.9771,0.9102,0.997,1.0,1.0,0.4202,0.9855,0.5432,0.9827,1.0,1.0,0.2441,0.9402,0.2731,0.9292,0.531,0.9875,Meenakshi
Detailed_Study_Plan_1,Detailed_Study_Plan_4,0.4911,0.9826,0.8472,0.9954,1.0,1.0,0.4792,0.9896,0.4424,0.9629,1.0,1.0,0.4944,0.9615,0.2315,0.9347,0.5413,0.9836,Meenakshi
Detailed_Study_Plan_2,Detailed_Study_Plan_3,0.4802,0.9826,0.9098,0.9962,1.0,1.0,0.4529,0.9825,0.4867,0.979,1.0,1.0,0.327,0.9361,0.4045,0.9586,0.5557,0.9849,Meenakshi
Detailed_Study_Plan_2,Detailed_Study_Plan_4,0.5078,0.9865,0.9432,0.9982,1.0,1.0,0.3982,0.9702,0.3932,0.9603,1.0,1.0,0.2848,0.944,0.2989,0.9347,0.5131,0.9856,Meenakshi
Detailed_Study_Plan_3,Detailed_Study_Plan_4,0.4901,0.9836,0.8959,0.9957,1.0,1.0,0.404,0.9818,0.4009,0.9604,1.0,1.0,0.254,0.9507,0.2431,0.9323,0.5071,0.9835,Meenakshi
