Plan1,Plan2,ELEVATION_PHASE_BLEU,ELEVATION_PHASE_Cosine,EXECUTIVE_SUMMARY_BLEU,EXECUTIVE_SUMMARY_Cosine,FOOTER_BLEU,FOOTER_Cosine,FOUNDATION_PHASE_BLEU,FOUNDATION_PHASE_Cosine,PEAK_PHASE_BLEU,PEAK_PHASE_Cosine,STATIC_CTA_BLEU,STATIC_CTA_Cosine,THIS_JOURNEY_OF_YOURS_BLEU,THIS_JOURNEY_OF_YOURS_Cosine,TIPS_TO_MAKE_IT_WORK_BEST_BLEU,TIPS_TO_MAKE_IT_WORK_BEST_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Detailed_Study_Plan_1,Detailed_Study_Plan_2,0.4606,0.9761,1.0,1.0,1.0,1.0,0.3379,0.9792,0.4182,0.9733,1.0,1.0,0.197,0.9101,0.5184,0.966,0.4974,0.986,GovindPotti
Detailed_Study_Plan_1,Detailed_Study_Plan_3,0.5614,0.9839,1.0,1.0,1.0,1.0,0.359,0.9811,0.4815,0.9892,1.0,1.0,0.2791,0.9367,0.1875,0.935,0.5302,0.9881,GovindPotti
Detailed_Study_Plan_1,Detailed_Study_Plan_4,0.4992,0.9807,1.0,1.0,1.0,1.0,0.3171,0.9754,0.4588,0.9777,1.0,1.0,0.406,0.9324,0.3236,0.9446,0.4883,0.9843,GovindPotti
Detailed_Study_Plan_2,Detailed_Study_Plan_3,0.4386,0.97,1.0,1.0,1.0,1.0,0.3269,0.9713,0.5425,0.9754,1.0,1.0,0.3849,0.9437,0.199,0.9407,0.5051,0.9839,GovindPotti
Detailed_Study_Plan_2,Detailed_Study_Plan_4,0.4105,0.9797,1.0,1.0,1.0,1.0,0.2808,0.9674,0.4583,0.984,1.0,1.0,0.2429,0.9205,0.3477,0.9457,0.449,0.9843,GovindPotti
Detailed_Study_Plan_3,Detailed_Study_Plan_4,0.484,0.9765,1.0,1.0,1.0,1.0,0.3066,0.9804,0.4587,0.9773,1.0,1.0,0.3044,0.9271,0.2422,0.9213,0.481,0.9878,GovindPotti
