Plan1,Plan2,ELEVATION_PHASE_BLEU,ELEVATION_PHASE_Cosine,EXECUTIVE_SUMMARY_BLEU,EXECUTIVE_SUMMARY_Cosine,FOOTER_BLEU,FOOTER_Cosine,FOUNDATION_PHASE_BLEU,FOUNDATION_PHASE_Cosine,PEAK_PHASE_BLEU,PEAK_PHASE_Cosine,STATIC_CTA_BLEU,STATIC_CTA_Cosine,THIS_JOURNEY_OF_YOURS_BLEU,THIS_JOURNEY_OF_YOURS_Cosine,TIPS_TO_MAKE_IT_WORK_BEST_BLEU,TIPS_TO_MAKE_IT_WORK_BEST_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Detailed_Study_Plan_1,Detailed_Study_Plan_2,0.4737,0.9646,0.9438,0.9958,1.0,1.0,0.3821,0.9811,0.5025,0.9765,1.0,1.0,0.3904,0.9263,0.1541,0.9381,0.504,0.9877,Amrita
Detailed_Study_Plan_1,Detailed_Study_Plan_3,0.4782,0.9881,0.928,0.9944,1.0,1.0,0.3377,0.977,0.3401,0.9801,1.0,1.0,0.5782,0.9499,0.2011,0.9453,0.4685,0.9909,Amrita
Detailed_Study_Plan_1,Detailed_Study_Plan_4,0.624,0.9884,0.9365,0.9946,1.0,1.0,0.3989,0.9815,0.5251,0.9863,1.0,1.0,0.4951,0.9644,0.1739,0.928,0.5333,0.9894,Amrita
Detailed_Study_Plan_2,Detailed_Study_Plan_3,0.477,0.9691,0.9509,0.9974,1.0,1.0,0.3237,0.9751,0.3767,0.9554,1.0,1.0,0.3502,0.9535,0.2604,0.9487,0.4549,0.9898,Amrita
Detailed_Study_Plan_2,Detailed_Study_Plan_4,0.5055,0.966,0.9485,0.9973,1.0,1.0,0.3729,0.9856,0.4866,0.9693,1.0,1.0,0.2647,0.9346,0.2034,0.9469,0.5045,0.9901,Amrita
Detailed_Study_Plan_3,Detailed_Study_Plan_4,0.4818,0.9877,0.9877,0.9998,1.0,1.0,0.2954,0.9678,0.3589,0.9817,1.0,1.0,0.4592,0.9561,0.1625,0.9309,0.4448,0.9907,Amrita
