Plan1,Plan2,ELEVATION_PHASE_BLEU,ELEVATION_PHASE_Cosine,EXECUTIVE_SUMMARY_BLEU,EXECUTIVE_SUMMARY_Cosine,FOOTER_BLEU,FOOTER_Cosine,FOUNDATION_PHASE_BLEU,FOUNDATION_PHASE_Cosine,PEAK_PHASE_BLEU,PEAK_PHASE_Cosine,STATIC_CTA_BLEU,STATIC_CTA_Cosine,THIS_JOURNEY_OF_YOURS_BLEU,THIS_JOURNEY_OF_YOURS_Cosine,TIPS_TO_MAKE_IT_WORK_BEST_BLEU,TIPS_TO_MAKE_IT_WORK_BEST_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Detailed_Study_Plan_1,Detailed_Study_Plan_2,0.4912,0.9894,0.8929,0.9957,1.0,1.0,0.3225,0.9815,0.5115,0.988,1.0,1.0,0.4171,0.9656,0.3096,0.915,0.5072,0.987,Anirudh
Detailed_Study_Plan_1,Detailed_Study_Plan_3,0.4747,0.9876,0.8929,0.9957,1.0,1.0,0.3215,0.9795,0.4805,0.9867,1.0,1.0,0.3334,0.9544,0.2958,0.9482,0.4896,0.991,Anirudh
Detailed_Study_Plan_1,Detailed_Study_Plan_4,0.3984,0.9744,0.9271,0.9969,1.0,1.0,0.3815,0.9803,0.5113,0.9816,1.0,1.0,0.3068,0.9503,0.3144,0.9157,0.5104,0.9858,Anirudh
Detailed_Study_Plan_2,Detailed_Study_Plan_3,0.4205,0.9864,1.0,0.9999,1.0,1.0,0.275,0.9745,0.6199,0.9911,1.0,1.0,0.3213,0.9476,0.3115,0.9423,0.49,0.9892,Anirudh
Detailed_Study_Plan_2,Detailed_Study_Plan_4,0.4058,0.9769,0.9199,0.9959,1.0,1.0,0.3432,0.9803,0.5754,0.9898,1.0,1.0,0.3283,0.9566,0.3767,0.9548,0.5277,0.9912,Anirudh
Detailed_Study_Plan_3,Detailed_Study_Plan_4,0.3459,0.9783,0.9199,0.9959,1.0,1.0,0.389,0.9837,0.5563,0.9859,1.0,1.0,0.2863,0.9344,0.3904,0.9415,0.5077,0.9867,Anirudh
