doc1,doc2,Footer_BLEU,Footer_Cosine,Want to Go Further?_BLEU,Want to Go Further?_Cosine,What This Means For You_BLEU,What This Means For You_Cosine,Your Learning Persona_BLEU,Your Learning Persona_Cosine,Your SAT Practice Snapshot_BLEU,Your SAT Practice Snapshot_Cosine,Your Study Plan: Based On You_BLEU,Your Study Plan: Based On You_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
sample_output.json,sample_output2.json,1.0,1.0,0.1173,0.531,0.0624,0.477,0.094,0.5415,0.16,0.6627,0.0986,0.4495,0.1769,0.8473,person
sample_output.json,sample_output3.json,1.0,1.0,0.1875,0.6107,0.0647,0.4231,0.2202,0.545,0.0336,0.5733,0.0993,0.4747,0.1888,0.847,person
sample_output2.json,sample_output3.json,1.0,1.0,0.1556,0.5173,0.0103,0.4343,0.1653,0.5602,0.082,0.5299,0.1374,0.4281,0.193,0.8314,person
