Plan1,Plan2,ELEVATION_PHASE_BLEU,ELEVATION_PHASE_Cosine,EXECUTIVE_SUMMARY_BLEU,EXECUTIVE_SUMMARY_Cosine,FOOTER_BLEU,FOOTER_Cosine,FOUNDATION_PHASE_BLEU,FOUNDATION_PHASE_Cosine,PEAK_PHASE_BLEU,PEAK_PHASE_Cosine,STATIC_CTA_BLEU,STATIC_CTA_Cosine,THIS_JOURNEY_OF_YOURS_BLEU,THIS_JOURNEY_OF_YOURS_Cosine,TIPS_TO_MAKE_IT_WORK_BEST_BLEU,TIPS_TO_MAKE_IT_WORK_BEST_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Detailed_Study_Plan_1,Detailed_Study_Plan_2,0.4136,0.9849,0.9338,0.9971,1.0,1.0,0.4064,0.9724,0.4184,0.9614,1.0,1.0,0.2342,0.9255,0.1977,0.9177,0.5102,0.9828,RohanBharathwaj
Detailed_Study_Plan_1,Detailed_Study_Plan_3,0.444,0.986,0.9338,0.9971,1.0,1.0,0.3307,0.9741,0.4125,0.9686,1.0,1.0,0.2446,0.9491,0.2835,0.966,0.4928,0.99,RohanBharathwaj
Detailed_Study_Plan_1,Detailed_Study_Plan_4,0.5387,0.9914,1.0,1.0,1.0,1.0,0.3256,0.9772,0.3896,0.9644,1.0,1.0,0.2869,0.904,0.3531,0.9677,0.4967,0.9889,RohanBharathwaj
Detailed_Study_Plan_2,Detailed_Study_Plan_3,0.4069,0.9856,1.0,1.0,1.0,1.0,0.411,0.9775,0.4541,0.9813,1.0,1.0,0.2633,0.9222,0.247,0.9172,0.5245,0.9869,RohanBharathwaj
Detailed_Study_Plan_2,Detailed_Study_Plan_4,0.446,0.9871,0.9339,0.9971,1.0,1.0,0.3915,0.9773,0.5184,0.991,1.0,1.0,0.3386,0.8756,0.2045,0.9198,0.5219,0.9839,RohanBharathwaj
Detailed_Study_Plan_3,Detailed_Study_Plan_4,0.4542,0.9892,0.9339,0.9971,1.0,1.0,0.4158,0.9877,0.4329,0.9821,1.0,1.0,0.5241,0.9598,0.5018,0.9865,0.5514,0.9912,RohanBharathwaj
