Plan1,Plan2,ELEVATION_PHASE_BLEU,ELEVATION_PHASE_Cosine,EXECUTIVE_SUMMARY_BLEU,EXECUTIVE_SUMMARY_Cosine,FOOTER_BLEU,FOOTER_Cosine,FOUNDATION_PHASE_BLEU,FOUNDATION_PHASE_Cosine,PEAK_PHASE_BLEU,PEAK_PHASE_Cosine,STATIC_CTA_BLEU,STATIC_CTA_Cosine,THIS_JOURNEY_OF_YOURS_BLEU,THIS_JOURNEY_OF_YOURS_Cosine,TIPS_TO_MAKE_IT_WORK_BEST_BLEU,TIPS_TO_MAKE_IT_WORK_BEST_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Detailed_Study_Plan_1,Detailed_Study_Plan_2,0.399,0.9883,0.9478,0.9976,1.0,1.0,0.4038,0.9824,0.413,0.9839,1.0,1.0,0.2687,0.8774,0.3001,0.9537,0.5092,0.9827,GouriPradeep
Detailed_Study_Plan_1,Detailed_Study_Plan_3,0.4425,0.9773,1.0,1.0,1.0,1.0,0.389,0.974,0.4157,0.9837,1.0,1.0,0.2064,0.8913,0.3333,0.9552,0.5125,0.9829,GouriPradeep
Detailed_Study_Plan_1,Detailed_Study_Plan_4,0.442,0.9874,1.0,1.0,1.0,1.0,0.3906,0.9786,0.3941,0.9647,1.0,1.0,0.2133,0.8886,0.3371,0.9442,0.5113,0.9817,GouriPradeep
Detailed_Study_Plan_2,Detailed_Study_Plan_3,0.4372,0.9766,0.9478,0.9976,1.0,1.0,0.3928,0.9743,0.4011,0.9801,1.0,1.0,0.3488,0.9162,0.2341,0.958,0.5153,0.9898,GouriPradeep
Detailed_Study_Plan_2,Detailed_Study_Plan_4,0.382,0.9825,0.9478,0.9976,1.0,1.0,0.3508,0.9789,0.4026,0.9734,1.0,1.0,0.1075,0.8993,0.2621,0.9481,0.478,0.9885,GouriPradeep
Detailed_Study_Plan_3,Detailed_Study_Plan_4,0.4173,0.9705,1.0,1.0,1.0,1.0,0.3465,0.9749,0.399,0.9626,1.0,1.0,0.1233,0.896,0.2936,0.9498,0.4873,0.9873,GouriPradeep
