Plan1,Plan2,ELEVATION_PHASE_BLEU,ELEVATION_PHASE_Cosine,EXECUTIVE_SUMMARY_BLEU,EXECUTIVE_SUMMARY_Cosine,FOOTER_BLEU,FOOTER_Cosine,FOUNDATION_PHASE_BLEU,FOUNDATION_PHASE_Cosine,PEAK_PHASE_BLEU,PEAK_PHASE_Cosine,STATIC_CTA_BLEU,STATIC_CTA_Cosine,THIS_JOURNEY_OF_YOURS_BLEU,THIS_JOURNEY_OF_YOURS_Cosine,TIPS_TO_MAKE_IT_WORK_BEST_BLEU,TIPS_TO_MAKE_IT_WORK_BEST_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Detailed_Study_Plan_1,Detailed_Study_Plan_2,0.4093,0.9854,0.9071,0.9879,1.0,1.0,0.4441,0.9879,0.5585,0.9844,1.0,1.0,0.8333,0.9875,0.3066,0.9616,0.586,0.9917,Jevinn
Detailed_Study_Plan_1,Detailed_Study_Plan_3,0.4281,0.9854,0.9071,0.9879,1.0,1.0,0.5272,0.9932,0.5173,0.9864,1.0,1.0,0.5507,0.9786,0.1343,0.9094,0.5743,0.9913,Jevinn
Detailed_Study_Plan_1,Detailed_Study_Plan_4,0.4647,0.9814,0.958,0.9983,1.0,1.0,0.4882,0.988,0.6101,0.9835,1.0,1.0,0.7055,0.9879,0.4338,0.973,0.6125,0.9926,Jevinn
Detailed_Study_Plan_2,Detailed_Study_Plan_3,0.3643,0.9836,1.0,1.0,1.0,1.0,0.4576,0.9912,0.4885,0.986,1.0,1.0,0.5502,0.9776,0.245,0.924,0.5702,0.9902,Jevinn
Detailed_Study_Plan_2,Detailed_Study_Plan_4,0.384,0.9764,0.948,0.99,1.0,1.0,0.4358,0.9885,0.5725,0.9914,1.0,1.0,0.7195,0.9852,0.339,0.964,0.5743,0.9922,Jevinn
Detailed_Study_Plan_3,Detailed_Study_Plan_4,0.5066,0.9879,0.948,0.99,1.0,1.0,0.5213,0.9902,0.5572,0.9875,1.0,1.0,0.4821,0.9789,0.1575,0.9207,0.5969,0.9914,Jevinn
