Plan1,Plan2,ELEVATION_PHASE_BLEU,ELEVATION_PHASE_Cosine,EXECUTIVE_SUMMARY_BLEU,EXECUTIVE_SUMMARY_Cosine,FOOTER_BLEU,FOOTER_Cosine,FOUNDATION_PHASE_BLEU,FOUNDATION_PHASE_Cosine,PEAK_PHASE_BLEU,PEAK_PHASE_Cosine,STATIC_CTA_BLEU,STATIC_CTA_Cosine,THIS_JOURNEY_OF_YOURS_BLEU,THIS_JOURNEY_OF_YOURS_Cosine,TIPS_TO_MAKE_IT_WORK_BEST_BLEU,TIPS_TO_MAKE_IT_WORK_BEST_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Detailed_Study_Plan_1,Detailed_Study_Plan_2,0.5135,0.9874,0.906,0.9792,1.0,1.0,0.3649,0.9638,0.5761,0.9908,1.0,1.0,0.2835,0.9513,0.5171,0.9841,0.5503,0.9917,Abhinav
Detailed_Study_Plan_1,Detailed_Study_Plan_3,0.4791,0.9742,0.8887,0.9778,1.0,1.0,0.4099,0.982,0.4827,0.9848,1.0,1.0,0.3367,0.9365,0.4365,0.975,0.5331,0.988,Abhinav
Detailed_Study_Plan_1,Detailed_Study_Plan_4,0.5791,0.9915,0.906,0.9792,1.0,1.0,0.3266,0.9606,0.485,0.9795,1.0,1.0,0.3015,0.942,0.2596,0.9564,0.5165,0.9886,Abhinav
Detailed_Study_Plan_2,Detailed_Study_Plan_3,0.5481,0.9792,0.9828,0.9993,1.0,1.0,0.3845,0.9681,0.458,0.9891,1.0,1.0,0.3526,0.9345,0.54,0.9752,0.5483,0.9854,Abhinav
Detailed_Study_Plan_2,Detailed_Study_Plan_4,0.5406,0.9893,1.0,1.0,1.0,1.0,0.3438,0.9628,0.4526,0.9795,1.0,1.0,0.2592,0.9578,0.2684,0.9527,0.5242,0.9893,Abhinav
Detailed_Study_Plan_3,Detailed_Study_Plan_4,0.4965,0.9767,0.9828,0.9993,1.0,1.0,0.3317,0.9643,0.4823,0.9782,1.0,1.0,0.2295,0.9162,0.3197,0.9637,0.5155,0.9841,Abhinav
