Plan1,Plan2,ELEVATION_PHASE_BLEU,ELEVATION_PHASE_Cosine,EXECUTIVE_SUMMARY_BLEU,EXECUTIVE_SUMMARY_Cosine,FOOTER_BLEU,FOOTER_Cosine,FOUNDATION_PHASE_BLEU,FOUNDATION_PHASE_Cosine,PEAK_PHASE_BLEU,PEAK_PHASE_Cosine,STATIC_CTA_BLEU,STATIC_CTA_Cosine,THIS_JOURNEY_OF_YOURS_BLEU,THIS_JOURNEY_OF_YOURS_Cosine,TIPS_TO_MAKE_IT_WORK_BEST_BLEU,TIPS_TO_MAKE_IT_WORK_BEST_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Detailed_Study_Plan_1,Detailed_Study_Plan_2,0.4342,0.9804,0.9869,0.9997,1.0,1.0,0.3989,0.98,0.5843,0.9924,1.0,1.0,0.3021,0.9572,0.5973,0.9773,0.5622,0.9886,Zoha
Detailed_Study_Plan_1,Detailed_Study_Plan_3,0.4988,0.9859,0.9869,0.9998,1.0,1.0,0.3504,0.9845,0.5165,0.9858,1.0,1.0,0.1829,0.8909,0.6188,0.9747,0.5386,0.985,Zoha
Detailed_Study_Plan_1,Detailed_Study_Plan_4,0.5871,0.9822,0.9869,0.9998,1.0,1.0,0.4607,0.9907,0.3681,0.983,1.0,1.0,0.446,0.943,0.6883,0.9791,0.5816,0.9894,Zoha
Detailed_Study_Plan_2,Detailed_Study_Plan_3,0.4354,0.9816,0.9737,0.9996,1.0,1.0,0.37,0.9787,0.5589,0.992,1.0,1.0,0.2328,0.9137,0.7087,0.9872,0.5469,0.9867,Zoha
Detailed_Study_Plan_2,Detailed_Study_Plan_4,0.3947,0.9789,0.9737,0.9996,1.0,1.0,0.4622,0.9788,0.3477,0.9823,1.0,1.0,0.3376,0.9371,0.5838,0.9818,0.5381,0.9915,Zoha
Detailed_Study_Plan_3,Detailed_Study_Plan_4,0.4161,0.982,1.0,1.0,1.0,1.0,0.4163,0.9898,0.3967,0.9809,1.0,1.0,0.192,0.8888,0.6986,0.9864,0.5384,0.9849,Zoha
