Plan1,Plan2,ELEVATION_PHASE_BLEU,ELEVATION_PHASE_Cosine,EXECUTIVE_SUMMARY_BLEU,EXECUTIVE_SUMMARY_Cosine,FOOTER_BLEU,FOOTER_Cosine,FOUNDATION_PHASE_BLEU,FOUNDATION_PHASE_Cosine,PEAK_PHASE_BLEU,PEAK_PHASE_Cosine,STATIC_CTA_BLEU,STATIC_CTA_Cosine,THIS_JOURNEY_OF_YOURS_BLEU,THIS_JOURNEY_OF_YOURS_Cosine,TIPS_TO_MAKE_IT_WORK_BEST_BLEU,TIPS_TO_MAKE_IT_WORK_BEST_Cosine,FULL_TEXT_BLEU,FULL_TEXT_Cosine,User
Detailed_Study_Plan_1,Detailed_Study_Plan_2,0.3918,0.9813,0.8736,0.9933,1.0,1.0,0.4533,0.9781,0.511,0.9854,1.0,1.0,0.5448,0.95,0.2414,0.9333,0.5419,0.9916,Tara
Detailed_Study_Plan_1,Detailed_Study_Plan_3,0.4682,0.9849,0.9873,0.9998,1.0,1.0,0.4228,0.9756,0.5357,0.9898,1.0,1.0,0.3913,0.9164,0.1231,0.8936,0.5514,0.9861,Tara
Detailed_Study_Plan_1,Detailed_Study_Plan_4,0.424,0.9821,1.0,1.0,1.0,1.0,0.4274,0.9708,0.536,0.9863,1.0,1.0,0.6178,0.9558,0.1213,0.8839,0.5527,0.9878,Tara
Detailed_Study_Plan_2,Detailed_Study_Plan_3,0.495,0.9891,0.8686,0.9932,1.0,1.0,0.401,0.9801,0.6173,0.9936,1.0,1.0,0.4276,0.9265,0.1969,0.9084,0.559,0.9872,Tara
Detailed_Study_Plan_2,Detailed_Study_Plan_4,0.4848,0.9831,0.8736,0.9933,1.0,1.0,0.4353,0.9775,0.663,0.9939,1.0,1.0,0.6392,0.9863,0.1834,0.8882,0.5657,0.9909,Tara
Detailed_Study_Plan_3,Detailed_Study_Plan_4,0.5831,0.9898,0.9873,0.9998,1.0,1.0,0.5074,0.9723,0.5384,0.9907,1.0,1.0,0.4444,0.9304,0.5642,0.9758,0.6112,0.9914,Tara
